species,longitude,latitude,Combined,Point_X,Point_U
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-122.26879,37.9127,-122.26879+37.9127,-199180.418,-9141.391726
Ixodes pacificus,-121.04297,38.77411,-121.04297+38.77411,-90516.78742,84729.26874
Ixodes pacificus,-121.04812,38.77159,-121.04812+38.77159,-90966.8271,84454.10952
Ixodes pacificus,-124.264,40.576,-124.264+40.576,-360947.3376,292548.3833
Ixodes pacificus,-122.81353,39.01781,-122.81353+39.01781,-243346.5971,114929.3618
Ixodes pacificus,-122.99986,39.30372,-122.99986+39.30372,-258452.1866,147182.9952
Ixodes pacificus,-122.741,38.9612,-122.741+38.9612,-237256.9862,108456.2905
Ixodes pacificus,-122.5997,38.6527,-122.5997+38.6527,-225969.4928,73834.39048
Ixodes pacificus,-120.7437,35.3288,-120.7437+35.3288,-67547.77256,-298411.9645
