"","fvegHW90mask","aetjul_90m","cwdjul_90m","pptjul_90m","pptdjf_90m","pptjja_90m","tmnjul_90m","tmxjul_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",15,0.528699994087219,171.707992553711,0.528699994087219,138.433197021484,2.77740001678467,11.9246997833252,25.1222991943359,24.8239002227783,6.84100008010864,-196989.067249838,-10683.053865707
"2",2,0.407700002193451,170.105697631836,0.407700002193451,141.555603027344,3.17170000076294,12.1156997680664,24.9169998168945,24.6506996154785,6.83279991149902,-195854.824010594,-11494.876327686
"3",15,0.129999995231628,171.913299560547,0.129999995231628,141.807998657227,3.6159999370575,12.2589998245239,24.8477001190186,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"4",15,0.233300000429153,170.183303833008,0.233300000429153,142.013900756836,3.46320009231567,12.2137002944946,24.7900009155273,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"5",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"6",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"7",15,0.500299990177155,175.393005371094,0.500299990177155,130.31379699707,2.53999996185303,12.2193002700806,25.0177001953125,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"8",15,0.507000029087067,174.339706420898,0.507000029087067,129.157897949219,2.49559998512268,12.2847003936768,24.4817008972168,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"9",15,0.507000029087067,174.339706420898,0.507000029087067,129.157897949219,2.49559998512268,12.2847003936768,24.4817008972168,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"10",15,0.471700012683868,174.74169921875,0.471700012683868,136.21110534668,2.74379992485046,12.06369972229,25.363000869751,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
"11",15,0.479999989271164,175.75,0.479999989271164,132.285995483398,2.5132999420166,12.1149997711182,25.2653007507324,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"12",15,NA,NA,0.170699998736382,125.859100341797,3.26519989967346,16.4283008575439,34.3479995727539,32.7643013000488,4.15420007705688,-90967.9598885326,84454.6922930074
"13",15,0.300700008869171,195.936004638672,0.300700008869171,189.159393310547,2.47790002822876,12.7620000839233,32.4230003356934,31.389799118042,3.40820002555847,-217905.493336729,63785.1780668674
"14",5,0.460700005292892,186.932693481445,0.460700005292892,75.2001037597656,1.06019997596741,17.9549999237061,27.4416999816895,26.8999996185303,9.3922004699707,156757.785829981,-439516.504627664
"15",15,0.144299998879433,180.102294921875,0.144299998879433,163.618194580078,1.77180004119873,12.2453002929688,26.2800006866455,25.8099002838135,5.70989990234375,-218939.601104172,1708.77759889979
"16",15,0.144299998879433,180.102294921875,0.144299998879433,163.618194580078,1.77180004119873,12.2453002929688,26.2800006866455,25.8099002838135,5.70989990234375,-218939.601104172,1708.77759889979
"17",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218930.233137213,2064.3874508338
"18",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218930.233137213,2064.3874508338
"19",15,0.120999999344349,180.325698852539,0.120999999344349,160.253997802734,1.72720003128052,12.2347002029419,26.1476993560791,25.6991004943848,5.64300012588501,-218930.233137213,2064.3874508338
"20",2,0.970000028610229,181.856704711914,0.970000028610229,238.914199829102,4.16440010070801,11.5500001907349,28.1956996917725,27.5179004669189,5.73000001907349,-229866.859638613,-2788.4001445882
"21",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219652.010490349,62266.3838165672
"22",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219652.010490349,62266.3838165672
"23",15,0.336699992418289,193.856704711914,0.336699992418289,190.159194946289,2.55590009689331,12.2170000076294,32.6306991577148,31.57200050354,3.67190003395081,-219652.010490349,62266.3838165672
"24",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-208474.907810457,-92723.6378798503
"25",2,0.665000021457672,182.331695556641,0.665000021457672,187.166107177734,4.0398998260498,13.9062995910645,26.4687004089355,25.2171993255615,5.8983998298645,-192538.692341692,-74757.5486926683
"26",2,0.114000000059605,183.519302368164,0.114000000059605,112.318603515625,0.658900022506714,12.7650003433228,29.4172992706299,28.2604007720947,4.30819988250732,-141931.838907428,-93305.3188479841
"27",8,2.55599999427795,185.957305908203,0.264699995517731,215.301803588867,3.27360010147095,11.3369998931885,32.0666999816895,30.9204006195068,5.00339984893799,-222376.198477295,39320.6526354309
