"","fvegHW90mask","aetoct_90m","cwdoct_90m","pptoct_90m","pptdjf_90m","pptjja_90m","tmnoct_90m","tmxoct_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1",5,41.0666999816895,17.6567001342773,56.0740013122559,192.478393554688,14.1396999359131,8.08600044250488,18.3087005615234,18.9169006347656,4.91120004653931,-360947.337635,292548.383288
"2",7,51.157299041748,27.7793006896973,66.0692977905273,233.11799621582,5.80819988250732,9.02070045471191,23.4493007659912,30.1177005767822,2.55259990692139,-258452.186569,147182.995225
"3",15,33.7299995422363,40.7799987792969,37.8839988708496,152.966995239258,2.54320001602173,5.60169982910156,24.2019996643066,32.219799041748,0.891099989414215,-243346.597064,114929.36175
"4",8,36.4846992492676,39.065299987793,42.4286994934082,179.49870300293,3.21720004081726,8.5846996307373,23.7269992828369,31.0492000579834,2.54909992218018,-237256.986213,108456.290498
"5",8,35.3950004577637,48.6217002868652,38.8712997436523,129.523895263672,3.2846999168396,10.0559997558594,24.9073009490967,32.6509017944336,3.92309999465942,-90516.7874155,84729.2687404
"6",15,NA,NA,37.7882995605469,125.859100341797,3.26519989967346,10.3170003890991,24.9950008392334,32.7643013000488,4.15420007705688,-90966.8270969,84454.1095212
"7",7,47.4766998291016,31.7733001708984,61.3297004699707,239.759704589844,4.76940011978149,10.1197004318237,21.8903007507324,28.0876007080078,3.92969989776611,-225969.492805,73834.3904774
"8",4,32.9733009338379,47.4700012207031,34.807300567627,126.894798278809,2.33189988136292,10.6016998291016,22.1760005950928,23.7985992431641,5.7701997756958,-199180.417978,-9141.39172557
"9",4,32.9733009338379,47.4700012207031,34.807300567627,126.894798278809,2.33189988136292,10.6016998291016,22.1760005950928,23.7985992431641,5.7701997756958,-199180.417978,-9141.39172557
"10",4,32.9733009338379,47.4700012207031,34.807300567627,126.894798278809,2.33189988136292,10.6016998291016,22.1760005950928,23.7985992431641,5.7701997756958,-199180.417978,-9141.39172557
"11",15,27.132999420166,57.173698425293,28.1476993560791,117.673698425293,1.40559995174408,9.34869956970215,24.32200050354,28.5807991027832,4.54519987106323,-180685.204021,-79407.8196132
"12",5,24.0030002593994,68.423698425293,26.5706996917725,101.501998901367,1.18929994106293,9.87569999694824,22.9666996002197,23.4197006225586,5.62960004806519,-67547.7725591,-298411.964496
